Date,Zone_1_field1_ET,Zone_1_field1_rainfall,Zone_2_field1_ET,Zone_2_field1_rainfall,Zone_3_field1_ET,Zone_3_field1_rainfall,Zone_4_field1_ET,Zone_4_field1_rainfall,Zone_5_field1_ET,Zone_5_field1_rainfall,Zone_6_field1_ET,Zone_6_field1_rainfall,Zone_7_field1_ET,Zone_7_field1_rainfall,Zone_8_field1_ET,Zone_8_field1_rainfall,Zone_9_field1_ET,Zone_9_field1_rainfall,Zone_10_field1_ET,Zone_10_field1_rainfall,Zone_11_field1_ET,Zone_11_field1_rainfall,Zone_12_field1_ET,Zone_12_field1_rainfall
1981-01-21,5.024466705,1.20E-09,5.014160061,1.56E-09,5.000635343,1.22E-08,5.012550116,1.20E-08,4.901166598,3.50E-08,4.890200138,2.99E-08,4.97178332,9.15E-08,4.834333261,1.74E-07,4.829949856,7.83E-08,4.822278926,5.11E-07,4.803899765,6.34E-07,5.010599947,4.39E-07
1981-01-22,5.592999999,2.40E-10,5.592619991,2.47E-10,5.668123498,9.65E-10,5.650599957,1.04E-09,5.648933411,2.91E-09,5.64839983,2.47E-09,5.745483319,9.39E-09,5.686550061,1.76E-08,5.67414999,6.92E-09,5.756584243,6.13E-08,5.697999954,7.67E-08,5.839480066,6.02E-08
1981-01-23,6.167059962,4.86E-08,6.168239975,4.33E-08,6.240511754,7.83E-08,6.198650122,7.06E-09,6.238433361,4.78E-09,6.237800121,2.79E-09,6.228216648,5.13E-08,6.127799988,4.05E-09,6.103800058,2.94E-09,6.143678916,1.12E-08,6.148300171,5.92E-09,6.224489975,1.25E-07
1981-01-24,6.810186672,1.84E-09,6.784039879,1.47E-09,6.725847048,5.30E-11,6.715849876,7.03E-11,6.758033435,1.90E-11,6.747200012,2.25E-11,6.643399874,5.14E-12,6.583350102,6.39E-12,6.595099926,9.48E-12,6.583589453,4.64E-12,6.575900078,3.34E-12,6.63845005,2.21E-12
1981-01-25,7.547333336,1.37E-06,7.542860031,1.92E-06,7.639870559,2.11E-05,7.612649918,0,7.633966605,6.46E-06,7.644899845,0,7.643233299,3.33E-05,7.643299977,3.28E-05,7.644200087,2.51E-05,7.629084236,4.07E-05,7.641499996,4.36E-05,7.658059931,3.13E-05
1981-01-26,7.104379972,4.82E-05,7.108899975,4.21E-05,7.176105892,1.41E-05,7.123849869,1.74E-05,7.127833366,2.19E-05,7.155200005,2.16E-05,7.178800106,1.96E-05,7.04036665,2.12E-05,7.035350084,2.57E-05,7.04972109,1.12E-05,7.068099976,0,7.189249992,1.28E-05
1981-01-27,4.089000018,0.463978855,4.095659924,0.423722544,4.313017649,0.063445962,4.172100067,0.333269849,4.394999981,0.149903409,4.219900131,0.213528126,4.443450054,0,4.445266644,0.026897992,4.449699879,0.030653423,4.505289479,0.053683407,4.519499779,0,4.583939981,0
1981-01-28,4.665166664,8.492024549,4.627140045,8.450760078,4.889870559,9.070658151,4.674799919,10.5348382,4.642766635,12.99160735,4.7020998,12.96045494,4.938583295,12.56348117,4.67990001,16.14225833,4.730450153,14.79480553,4.633342116,18.19434015,4.757699966,18.56199074,4.957919979,13.83356495
1981-01-29,6.231966718,0.349074984,6.232780075,0.235621086,6.466041144,0.028186653,6.476899862,0.070201956,6.502833207,0,6.502200127,0,6.505316655,0.001596131,6.534666618,0,6.515399933,0,6.56809473,0.051314401,6.573299885,0.058215234,6.536130047,0.092059745
1981-01-30,6.573180008,0.000188331,6.58307991,0.000151493,6.592370622,3.51E-05,6.57400012,2.36E-05,6.572433313,1.95E-05,6.571800232,2.03E-05,6.605133375,1.45E-05,6.601883332,1.62E-05,6.571249962,1.78E-05,6.626636781,1.41E-05,6.645299911,1.22E-05,6.637330008,1.12E-05
